,scores,cavity
1934,13.279999733,1
1935,13.279999733,1
1936,13.279999733,1
1958,13.279999733,1
1959,13.279999733,1
1960,13.279999733,1
1961,13.1990003586,1
1982,13.279999733,1
1983,13.279999733,1
1984,13.279999733,1
1985,13.1990003586,1
2007,13.1990003586,1
2008,13.1990003586,1
2009,13.1990003586,1
2629,13.5629997253,1
2630,14.0979995728,1
2631,14.0979995728,1
2632,14.0979995728,1
2633,13.7010002136,1
2653,13.5629997253,1
2654,14.0979995728,1
2655,14.0979995728,1
2656,14.0979995728,1
2657,13.7010002136,1
2677,13.5629997253,1
2678,14.0979995728,1
2679,14.0979995728,1
2680,14.0979995728,1
2681,13.7010002136,1
2702,13.5649995804,1
2703,13.5649995804,1
2704,13.5649995804,1
2705,13.1990003586,1
3277,13.1450004578,1
3278,13.1450004578,1
3279,13.1450004578,1
3300,13.4790000916,1
3301,13.8179998398,1
3302,13.8179998398,1
3303,13.8179998398,1
3324,13.4790000916,1
3325,13.8179998398,1
3326,14.0979995728,1
3327,14.0979995728,1
3328,14.0979995728,1
3329,13.7010002136,1
3348,13.4790000916,1
3349,13.8179998398,1
3350,14.0979995728,1
3351,14.0979995728,1
3352,14.0979995728,1
3353,13.7010002136,1
3373,13.5629997253,1
3374,14.0979995728,1
3375,14.0979995728,1
3376,14.0979995728,1
3377,13.7010002136,1
3398,13.5649995804,1
3399,13.5649995804,1
3400,13.5649995804,1
3401,13.1990003586,1
3973,13.4040002823,1
3974,13.4040002823,1
3975,13.4040002823,1
3996,13.4790000916,1
3997,13.8179998398,1
3998,13.8179998398,1
3999,13.8179998398,1
4000,13.5270004272,1
4001,13.4280004501,1
4020,13.4790000916,1
4021,13.8179998398,1
4022,14.0979995728,1
4023,14.0979995728,1
4024,14.0979995728,1
4025,13.7010002136,1
4044,13.4790000916,1
4045,13.8179998398,1
4046,14.0979995728,1
4047,14.0979995728,1
4048,14.0979995728,1
4049,13.7010002136,1
4069,13.5629997253,1
4070,14.0979995728,1
4071,14.0979995728,1
4072,14.0979995728,1
4073,13.7010002136,1
4094,13.5649995804,1
4095,13.5649995804,1
4096,13.5649995804,1
4669,13.4040002823,1
4670,13.4040002823,1
4671,13.4040002823,1
4692,13.4790000916,1
4693,13.8179998398,1
4694,13.8179998398,1
4695,13.8179998398,1
4696,13.5270004272,1
4697,13.4280004501,1
4716,13.4790000916,1
4717,13.8179998398,1
4718,13.8179998398,1
4719,13.8179998398,1
4720,13.7390003204,1
4721,13.4280004501,1
4740,13.4790000916,1
4741,13.8179998398,1
4742,13.8179998398,1
4743,13.8179998398,1
4744,13.7390003204,1
4766,13.7390003204,1
4767,13.7390003204,1
4768,13.7390003204,1
5365,13.4040002823,1
5366,13.4040002823,1
5367,13.4040002823,1
5389,13.4040002823,1
5390,13.5270004272,1
5391,13.5270004272,1
5392,13.5270004272,1
5393,13.4280004501,1
5413,13.4040002823,1
5414,13.5270004272,1
5415,13.5270004272,1
5416,13.5270004272,1
5417,13.4280004501,1
5438,13.5270004272,1
5439,13.5270004272,1
6016,13.6879997253,1
6017,13.6879997253,1
6018,13.6879997253,1
6040,14.2080001831,1
6041,14.8739995956,1
6042,14.8739995956,1
6043,14.8739995956,1
6064,14.2080001831,1
6065,14.8739995956,1
6066,14.8739995956,1
6067,14.8739995956,1
6088,14.2080001831,1
6089,14.8739995956,1
6090,14.8739995956,1
6091,14.8739995956,1
6711,14.9809999466,1
6712,14.9809999466,1
6713,14.9809999466,1
6714,13.6879997253,1
6735,14.9809999466,1
6736,16.25,1
6737,16.25,1
6738,16.25,1
6739,14.8739995956,1
6759,14.9809999466,1
6760,16.25,1
6761,16.25,1
6762,16.25,1
6763,14.8739995956,1
6764,14.2510004044,1
6765,14.2510004044,1
6783,14.1190004349,1
6784,16.25,1
6785,16.25,1
6786,16.25,1
6787,14.8739995956,1
6788,14.2510004044,1
6789,14.2510004044,1
6811,14.2510004044,1
6812,14.2510004044,1
6813,14.2510004044,1
7382,14.3310003281,1
7383,14.3310003281,1
7384,14.3310003281,1
7406,14.7460002899,1
7407,16.2649993896,1
7408,16.2649993896,1
7409,16.2649993896,1
7410,13.6879997253,1
7430,14.7460002899,1
7431,16.2649993896,1
7432,16.2649993896,1
7433,16.2649993896,1
